,time,open,high,low,close,tick_volume,spread,real_volume
0,1675236060,1.08683,1.08687,1.08678,1.08678,12,7,0
1,1675236120,1.08678,1.08683,1.08677,1.08682,10,9,0
2,1675236180,1.08682,1.08683,1.0868,1.08681,11,10,0
3,1675236240,1.08681,1.08682,1.08681,1.08682,2,10,0
4,1675236300,1.08682,1.08683,1.08679,1.08682,8,10,0
5,1675236360,1.08682,1.08682,1.08676,1.08677,11,8,0
6,1675236420,1.08677,1.08684,1.08677,1.08677,27,8,0
7,1675236480,1.08677,1.08678,1.08662,1.08664,24,6,0
8,1675236540,1.08663,1.08666,1.08659,1.08664,24,8,0
9,1675236600,1.08664,1.08671,1.0866,1.0866500000000001,21,9,0
10,1675236660,1.0866500000000001,1.08671,1.08664,1.08671,13,9,0
11,1675236720,1.08671,1.08676,1.0867,1.08674,12,7,0
12,1675236780,1.08674,1.08683,1.08673,1.08681,13,9,0
13,1675236840,1.08681,1.08688,1.08681,1.08688,13,10,0
14,1675236900,1.08688,1.08688,1.08683,1.08686,11,8,0
15,1675236960,1.08686,1.08687,1.08677,1.08683,21,8,0
16,1675237020,1.08683,1.08685,1.08682,1.08684,10,9,0
17,1675237080,1.08684,1.08684,1.08677,1.08677,16,9,0
18,1675237140,1.08677,1.08678,1.08673,1.08678,13,9,0
19,1675237200,1.08678,1.0868,1.08671,1.08672,14,8,0
20,1675237260,1.0868,1.08692,1.0868,1.08688,20,8,0
21,1675237320,1.08688,1.087,1.08687,1.087,14,8,0
22,1675237380,1.087,1.08701,1.08695,1.08699,14,8,0
23,1675237440,1.08698,1.08699,1.08693,1.08694,13,6,0
24,1675237500,1.08695,1.08699,1.08692,1.08694,19,8,0
25,1675237560,1.08694,1.08694,1.08688,1.08694,20,8,0
26,1675237620,1.08694,1.08705,1.08694,1.08705,10,5,0
27,1675237680,1.08705,1.08725,1.08705,1.08719,23,6,0
28,1675237740,1.08719,1.08735,1.08719,1.08734,15,6,0
29,1675237800,1.08735,1.08743,1.0872600000000001,1.08727,34,5,0
30,1675237860,1.08727,1.0873,1.08724,1.08724,17,9,0
31,1675237920,1.08724,1.08729,1.08723,1.08724,15,6,0
32,1675237980,1.08724,1.0873,1.08723,1.08725,19,9,0
33,1675238040,1.08725,1.08725,1.08713,1.08723,25,5,0
34,1675238100,1.08723,1.08727,1.08722,1.08725,15,9,0
35,1675238160,1.08723,1.08723,1.08718,1.08718,10,8,0
36,1675238220,1.08718,1.0872,1.08715,1.08717,22,9,0
37,1675238280,1.08717,1.08717,1.08707,1.08707,42,8,0
38,1675238340,1.08706,1.0872,1.08706,1.08711,33,6,0
39,1675238400,1.0871,1.08714,1.08702,1.08714,33,8,0
40,1675238460,1.08714,1.08728,1.08713,1.08727,40,7,0
41,1675238520,1.08729,1.08734,1.08723,1.08724,36,7,0
42,1675238580,1.08724,1.08728,1.08722,1.08728,22,8,0
43,1675238640,1.08729,1.08735,1.08728,1.08731,19,6,0
44,1675238700,1.08731,1.08743,1.08731,1.08743,13,2,0
45,1675238760,1.08743,1.08743,1.08739,1.08742,18,9,0
46,1675238820,1.08742,1.08749,1.0873599999999999,1.08738,27,9,0
47,1675238880,1.08739,1.08739,1.08717,1.08723,34,7,0
48,1675238940,1.08723,1.08723,1.08719,1.08723,15,9,0
49,1675239000,1.08723,1.08723,1.08719,1.08723,8,7,0
50,1675239060,1.08723,1.08724,1.08716,1.08719,13,7,0
51,1675239120,1.08719,1.08729,1.08711,1.08729,30,8,0
52,1675239180,1.08731,1.08731,1.08718,1.08718,16,4,0
53,1675239240,1.08718,1.0872,1.08716,1.0872,7,9,0
54,1675239300,1.0872,1.0872,1.08707,1.08713,33,5,0
55,1675239360,1.08712,1.08718,1.08712,1.08718,19,8,0
56,1675239420,1.08719,1.08722,1.08713,1.08713,22,7,0
57,1675239480,1.08713,1.08713,1.08707,1.08713,16,8,0
58,1675239540,1.08713,1.08723,1.08712,1.08723,14,7,0
59,1675239600,1.08723,1.0872600000000001,1.08717,1.08723,31,7,0
60,1675239660,1.08723,1.08729,1.08723,1.08727,15,9,0
61,1675239720,1.08728,1.08728,1.08724,1.08727,17,9,0
62,1675239780,1.08727,1.08733,1.08724,1.08732,22,8,0
63,1675239840,1.08732,1.08733,1.08728,1.08729,27,10,0
64,1675239900,1.08729,1.0873,1.0872600000000001,1.0872600000000001,23,9,0
65,1675239960,1.0872600000000001,1.08727,1.08722,1.08727,19,9,0
66,1675240020,1.08727,1.08732,1.08727,1.08729,14,8,0
67,1675240080,1.08728,1.08733,1.08728,1.08732,6,7,0
68,1675240140,1.08732,1.08732,1.0872,1.08724,34,9,0
69,1675240200,1.08724,1.08744,1.08723,1.08743,21,6,0
70,1675240260,1.08746,1.08749,1.08744,1.08747,17,9,0
71,1675240320,1.08747,1.08762,1.08747,1.08754,48,4,0
72,1675240380,1.08754,1.08759,1.08751,1.08755,37,8,0
73,1675240440,1.08755,1.08758,1.08752,1.08754,25,9,0
74,1675240500,1.08754,1.08761,1.08753,1.08755,23,10,0
75,1675240560,1.08756,1.08759,1.08752,1.08757,21,7,0
76,1675240620,1.08757,1.08757,1.08745,1.08745,33,9,0
77,1675240680,1.08745,1.08757,1.08745,1.08753,24,9,0
78,1675240740,1.08753,1.08759,1.08752,1.08758,30,8,0
79,1675240800,1.08761,1.08763,1.08748,1.08748,20,7,0
80,1675240860,1.08747,1.08747,1.08731,1.08732,22,7,0
81,1675240920,1.08731,1.08737,1.08714,1.08716,32,3,0
82,1675240980,1.08716,1.08729,1.08716,1.08716,31,7,0
83,1675241040,1.08716,1.08717,1.08708,1.08708,16,9,0
84,1675241100,1.08708,1.08734,1.08706,1.08723,40,8,0
85,1675241160,1.08723,1.08723,1.08707,1.08707,22,8,0
86,1675241220,1.08707,1.08707,1.08697,1.08698,19,7,0
87,1675241280,1.08698,1.08718,1.08697,1.08718,24,8,0
88,1675241340,1.08719,1.08719,1.0869,1.08692,38,4,0
89,1675241400,1.08692,1.08701,1.08686,1.08686,27,8,0
90,1675241460,1.08686,1.08687,1.08667,1.08667,30,10,0
91,1675241520,1.08667,1.08687,1.08664,1.0867,41,6,0
92,1675241580,1.0867,1.08672,1.08657,1.08669,64,7,0
93,1675241640,1.08668,1.08678,1.08652,1.08677,48,8,0
94,1675241700,1.08677,1.08702,1.08673,1.08694,42,7,0
95,1675241760,1.08694,1.08699,1.08685,1.08699,31,8,0
96,1675241820,1.08699,1.08703,1.08686,1.08686,31,8,0
97,1675241880,1.08686,1.08686,1.08667,1.08676,42,8,0
98,1675241940,1.08676,1.08689,1.08671,1.08689,39,8,0
99,1675242000,1.08691,1.08701,1.0867499999999999,1.08676,75,8,0
100,1675242060,1.08676,1.08698,1.08676,1.08693,62,5,0
101,1675242120,1.08693,1.08713,1.08692,1.08702,47,7,0
102,1675242180,1.08702,1.08717,1.08702,1.08711,68,7,0
103,1675242240,1.08711,1.08729,1.08709,1.08722,56,7,0
104,1675242300,1.08723,1.08739,1.08719,1.08739,66,8,0
105,1675242360,1.08739,1.08749,1.08737,1.08743,67,7,0
106,1675242420,1.08743,1.08744,1.08729,1.08732,70,8,0
107,1675242480,1.08732,1.08735,1.08725,1.0872600000000001,51,7,0
108,1675242540,1.0872600000000001,1.08729,1.0872,1.08723,62,8,0
109,1675242600,1.08724,1.08724,1.08714,1.08723,32,8,0
110,1675242660,1.08723,1.08723,1.08707,1.08718,60,7,0
111,1675242720,1.08718,1.08721,1.08708,1.08711,54,5,0
112,1675242780,1.08711,1.08719,1.08706,1.08717,77,6,0
113,1675242840,1.08717,1.08723,1.08713,1.08718,58,8,0
114,1675242900,1.08718,1.08728,1.08718,1.08728,42,9,0
115,1675242960,1.08728,1.08758,1.08728,1.08748,67,7,0
116,1675243020,1.08748,1.0879,1.08742,1.08783,65,1,0
117,1675243080,1.08785,1.08785,1.08762,1.08763,64,7,0
118,1675243140,1.08762,1.08778,1.08762,1.08773,61,6,0
119,1675243200,1.08773,1.08788,1.08768,1.08778,56,5,0
120,1675243260,1.08778,1.08797,1.08772,1.08772,50,6,0
